Name,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax
UCAC3 281-150921,4600,607,3.74,0.86,-1.04,0.39,12.42,0.100,54.52269537,0.057905664
Kepler-1651,3681,177,2.88,1.51,-0.16,0.16,13.496,0.100,15.02963666,0.023860968
KIC 4381741,3901,176,3.97,1.08,-0.23,0.14,13.818,0.100,7.008966334,0.019742215
Kepler-411,4961.1,60,4.687,0.1,0.213,0.04,12.231,0.100,6.478311918,0.019060641
KIC 5960966,4238,274,4.55,0.24,-0.19,0.14,13.79,0.100,5.00128013,0.66502623
KOI-5792,4819.6,60,4.547,0.1,0.011,0.04,15.705,0.100,4.618272919,0.274889174
HD 183204,10241,170,3.86,0.1,-0.27,0.11,7.508,0.100,4.2282,0.052
KOI-2295,5429.7,60,4.531,0.1,-0.116,0.04,11.671,0.100,3.862935773,0.0200998
KOI-3179,5730.6,60,4.515,0.1,0.075,0.04,10.884,0.100,3.676288757,0.02742543
KIC 1866535,3890,109,1.79,0.69,-0.15,0.16,15.268,0.100,3.433016786,0.024071696
KOI-3208,5845.7,60,4.451,0.1,-0.12,0.04,11.893,0.100,3.318028062,0.022256014
2MASS J19284396+4112456,5621,173,4.25,0.24,0.04,0.19,12.976,0.100,2.958094004,0.020818078
KOI-102,5758.8,60,4.338,0.1,0.241,0.04,12.566,0.100,2.517730964,0.026996606
KOI-2219,4995.9,60,4.533,0.1,0.143,0.04,14.099,0.100,2.412652998,0.019695371
KIC 5177193,4051,131,4.65,0.22,-0.22,0.15,15.984,0.100,2.403563759,0.038187403
KOI-1808,6142.9,60,4.444,0.1,0.043,0.04,12.487,0.100,2.252355059,0.023008469
KOI-2848,5703.7,60,4.156,0.1,0.32,0.04,12.458,0.100,2.226763045,0.021371409
KIC 9905724,5432,185,4.33,0.25,-0.46,0.25,14.679,0.100,2.043428459,0.022634076
Kepler-795,5581.7,60,4.334,0.1,-0.02,0.04,13.331,0.100,2.003308705,0.019186337
KIC 9216773,5199,176,4.3,0.36,-0.21,0.22,15.006,0.100,1.986405416,0.040901691
KOI-2469,4837.7,60,4.642,0.1,-0.01,0.04,15.048,0.100,1.92048817,0.025328382
KOI-2248,5148.2,60,4.572,0.1,0.122,0.04,15.498,0.100,1.835714868,0.706973331
KIC 5470396,5754,162,4.15,0.39,-0.05,0.18,13.677,0.100,1.762927021,0.021277434
KOI-4961,4826,60,4.547,0.1,0.253,0.04,15.325,0.100,1.656955119,0.032429152
Kepler-191,5191.1,60,4.688,0.1,0.13,0.04,14.808,0.100,1.653588548,0.022142507
KOI-1901,5998.6,60,4.299,0.1,0.142,0.04,13.34,0.100,1.493174798,0.013870649
Kepler-1531,6183.8,60,4.3,0.1,-0.05,0.04,13.194,0.100,1.471875003,0.012360563
Kepler-1327,5646.2,60,4.382,0.1,-0.273,0.04,13.914,0.100,1.445898165,0.012405286
Kepler-985,5425.2,60,4.672,0.1,0,0.04,14.767,0.100,1.443311042,0.019824617
KOI-644,5684.6,60,4.155,0.1,-0.095,0.04,13.725,0.100,1.41851728,0.019113545
KOI-4480,5633.9,60,4.425,0.1,0.32,0.04,14.122,0.100,1.342847879,0.018639204
Kepler-420,5500.7,60,4.293,0.1,0.317,0.04,14.651,0.100,1.30902354,0.953778337
Kepler-257,5117.8,60,4.42,0.1,0.396,0.04,15.471,0.100,1.253532554,0.027973569
KIC 9913134,4755,213,4.47,0.36,-0.14,0.18,12.252,0.100,1.252376886,0.426355328
Kepler-990,5577.4,60,4.372,0.1,-0.112,0.04,14.498,0.100,1.218050333,0.018972396
KOI-3172,6086.4,60,4.003,0.1,-0.014,0.04,10.609,0.100,1.2092987,0.027025252
KOI-3214,5934.9,60,4.063,0.1,-0.056,0.04,12.014,0.100,1.20929303,0.08955155
KOI-1118,6010.1,60,4.247,0.1,-0.044,0.04,13.835,0.100,1.056978929,0.017524713
KIC 4375925,6177,193,4.17,0.11,-0.23,0.14,12.859,0.100,1.049917205,0.037390803
Kepler-633,5855.6,60,4.151,0.1,-0.175,0.04,13.716,0.100,1.042757606,0.016401126
KOI-4978,5545.8,60,4.597,0.1,0.183,0.04,15.278,0.100,1.03972261,0.028743053
KOI-3891,5079.8,60,3.746,0.1,-0.102,0.04,13.731,0.100,0.973970019,0.017470577
Kepler-1093,6314.3,60,4.259,0.1,-0.142,0.04,13.838,0.100,0.903339504,0.018178001
Kepler-108,5680.9,60,3.861,0.1,0.374,0.04,12.654,0.100,0.775371442,0.087697678
Kepler-460,6054.1,60,4.063,0.1,-0.035,0.04,13.771,0.100,0.756155049,0.017070517
KIC 5714912,5325,217,4.17,0.3,-0.08,0.21,15.536,0.100,0.670210864,0.12802822
KOI-7605,5900.4,60,4.517,0.1,-0.1,0.04,14.839,0.100,0.626516832,0.129877442
KIC 5702872,5693,125,4.27,0.2,-0.02,0.16,13.783,0.100,0.513270013,0.070339775
2MASS J19341016+3846566,6518,266,4.1,0.11,-0.17,0.13,13.478,0.100,0.483110257,0.290649703
KIC 10117599,3993,127,1.72,0.3,-0.14,0.17,10.641,0.100,0.22244027,0.022860954
TYC 3120-376-1,20406,1746,3.49,0.19,-0.03,0.1,11.061,0.100,0.165085189,0.049791494
KIC 10091543,5786,82,4.17,0.15,0.01,0.16,14.622,0.100,-0.3201691,0.272436917
KOI-2474,5320.3,60,4.637,0.1,-0.257,0.04,14.182,0.100,-0.392405903,0.604751814
KIC 2859701,6460,164,4.11,0.14,-0.14,0.15,13.453,0.100,-0.400821678,0.428174196
KOI-4273,6151.7,60,4.13,0.1,0.103,0.04,12.677,0.100,-1.305858448,0.501826304
KOI-113,5591.4,60,4.1,0.1,0.401,0.04,12.394,0.100,-1.616509602,0.629860023
KOI-3474,5870.8,60,4.194,0.1,-0.172,0.04,14.192,0.100,-3.019171772,0.53064079
Kepler-476,5863.1,60,4.273,0.1,0.216,0.04,13.837,0.100,-7.45496602,1.549089832
TYC 3562-1551-1,5342,267,4.26,0.27,0.07,0.17,12.134,0.100,5.551421,0.4047
KIC 6628539,7207,178,3.95,0.14,0.06,0.14,13.048,0.100,0.8973,0.0192
