FolderLabel,Name,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax
0,BD+41 3306,4946.6,60,4.452,0.1,-0.482,0.04,8.717,0.1,27.4137287,0.02947405
1,BD+47 2936,4864.3,60,4.498,0.1,0.327,0.04,9.174,0.1,26.45077811,0.023446405
2,BD+44 3020,5347.7,60,4.588,0.1,-0.248,0.04,9.705,0.1,15.61547588,0.028990268
3,BD+46 2726,5415.7,60,4.427,0.1,0.118,0.04,9.439,0.1,14.63963043,0.021240073
4,HD 176693,6089.2,60,4.305,0.1,-0.146,0.04,8.769,0.1,11.23457789,0.033006453
5,BD+38 3583,5593.6,60,4.414,0.1,-0.092,0.04,9.931,0.1,10.39738117,0.023862921
6,KOI-3167,5588,60,4.693,0.1,0.042,0.04,10.437,0.1,9.431394493,0.023937164
7,Kepler-102,4909.4,60,4.622,0.1,0.109,0.04,11.492,0.1,9.247844791,0.018765993
8,KOI-2687,5788.1,60,4.514,0.1,0.067,0.04,10.158,0.1,8.818749167,0.022606716
9,Kepler-78,5064.8,60,4.691,0.1,0.004,0.04,11.551,0.1,8.011261176,0.02116239
10,KOI-1964,5534.5,60,4.469,0.1,0.049,0.04,10.687,0.1,7.352872583,0.100715607
11,BD+48 2893,5789,60,4.199,0.1,0.136,0.04,9.997,0.1,6.90757825,0.020785495
12,HD 175289,6305.6,60,4.281,0.1,-0.005,0.04,9.364,0.1,6.749535327,0.022438244
13,Kepler-1446,4847.6,60,4.638,0.1,0.135,0.04,12.411,0.1,6.546936763,0.028919003
14,Kepler-378,4695.5,60,4.518,0.1,0.028,0.04,12.485,0.1,6.545958758,0.018377238
15,Kepler-411,4961.1,60,4.687,0.1,0.213,0.04,12.231,0.1,6.478311918,0.019060641
16,Kepler-538,5497.9,60,4.488,0.1,-0.08,0.04,11.195,0.1,6.383305928,0.028798115
17,KOI-364,5807.5,60,4.095,0.1,0.268,0.04,10.087,0.1,5.986345933,0.026059229
18,Kepler-220,4665.4,60,4.576,0.1,-0.012,0.04,13.177,0.1,5.815374174,0.021527054
19,Kepler-1313,5415.7,60,4.703,0.1,0.119,0.04,11.799,0.1,5.710595647,0.023346468
20,Kepler-10,5599.2,60,4.277,0.1,-0.114,0.04,10.961,0.1,5.361845677,0.023300853
21,Kepler-367,4858.9,60,4.701,0.1,0.108,0.04,12.879,0.1,5.289596589,0.024057379
22,Kepler-94,4728.2,60,4.378,0.1,0.322,0.04,12.895,0.1,5.182100325,0.022041748
23,KOI-3871,5192.6,60,4.616,0.1,0.07,0.04,12.224,0.1,5.151991162,0.260413757
24,Kepler-63,5672.9,60,4.678,0.1,0.246,0.04,11.582,0.1,5.12497143,0.025156651
25,Kepler-22,5527.7,60,4.513,0.1,-0.202,0.04,11.664,0.1,5.108831366,0.024164031
26,KOI-315,4816.1,60,4.611,0.1,-0.216,0.04,12.968,0.1,5.087917714,0.025285649
27,Kepler-99,4852.3,60,4.551,0.1,0.233,0.04,12.97,0.1,4.770390706,0.023692016
28,KOI-4399,5577.1,60,4.674,0.1,-0.04,0.04,11.965,0.1,4.714537488,0.018309986
29,BD+45 2960,6318.2,60,4.115,0.1,-0.049,0.04,9.582,0.1,4.673790699,0.027571709
30,KOI-3224,5380.4,60,4.577,0.1,0.075,0.04,12.192,0.1,4.653173028,0.021296293
31,KOI-2720,5925.8,60,4.029,0.1,-0.126,0.04,10.338,0.1,4.649287523,0.026741467
32,KOI-5792,4819.6,60,4.547,0.1,0.011,0.04,15.705,0.1,4.618272919,0.274889174
33,Kepler-1,5818.7,60,4.4,0.1,0.012,0.04,11.338,0.1,4.615427436,0.022357678
34,Kepler-954,5030.1,60,4.725,0.1,0.202,0.04,12.971,0.1,4.60484805,0.02432548
35,Kepler-942,4767.6,60,4.484,0.1,0.076,0.04,13.054,0.1,4.5931203,0.013804252
36,KOI-4287,6260.4,60,4.247,0.1,-0.052,0.04,11.265,0.1,4.588549154,0.508237282
37,Kepler-396,5655.9,60,4.566,0.1,0.184,0.04,11.921,0.1,4.440644078,0.035627924
38,KOI-4582,5637.1,60,4.441,0.1,-0.186,0.04,11.756,0.1,4.423051882,0.026811763
39,Kepler-126,6270,60,4.297,0.1,-0.164,0.04,10.5,0.1,4.183632259,0.029200821
40,KOI-2612,5543.5,60,4.273,0.1,0.32,0.04,11.83,0.1,4.103657577,0.024690144
41,Kepler-519,5347.3,60,4.657,0.1,0.176,0.04,12.63,0.1,4.026242252,0.02358716
42,KOI-99,4935.2,60,4.419,0.1,-0.284,0.04,12.96,0.1,3.98624007,0.019509764
43,KOI-4725,4824.7,60,4.491,0.1,-0.026,0.04,13.367,0.1,3.985506541,0.013927877
44,Kepler-1130,5401.9,60,4.54,0.1,0.182,0.04,12.404,0.1,3.981890435,0.028564965
45,Kepler-50,6162.2,60,4.138,0.1,-0.089,0.04,10.421,0.1,3.96961053,0.029542157
46,Kepler-352,5223.9,60,4.707,0.1,-0.112,0.04,12.957,0.1,3.927956815,0.021610025
47,Kepler-531,4934.6,60,4.619,0.1,0.049,0.04,13.34,0.1,3.927355348,0.012719622
48,Kepler-523,5528.7,60,4.72,0.1,0.105,0.04,12.465,0.1,3.919235101,0.025104919
49,KOI-2295,5429.7,60,4.531,0.1,-0.116,0.04,11.671,0.1,3.862935773,0.0200998
50,Kepler-114,4661.1,60,4.503,0.1,0.099,0.04,13.738,0.1,3.824242972,0.019278673
51,Kepler-992,4913.9,60,4.63,0.1,0.016,0.04,13.389,0.1,3.822612283,0.016074092
52,KOI-2801,6057,60,4.141,0.1,0.036,0.04,10.787,0.1,3.818452356,0.026222279
53,Kepler-113,4791.3,60,4.479,0.1,0.127,0.04,13.461,0.1,3.782793409,0.016038473
54,KOI-2001,5170,60,4.643,0.1,0.088,0.04,13.115,0.1,3.757905521,0.017442932
55,Kepler-381,6346.1,60,4.193,0.1,-0.157,0.04,10.421,0.1,3.712047136,0.023578002
56,Kepler-447,5620.4,60,4.686,0.1,0.073,0.04,12.394,0.1,3.702055395,0.025358526
57,Kepler-314,5439.6,60,4.449,0.1,0.384,0.04,12.557,0.1,3.690410364,0.024282989
58,KOI-3179,5730.6,60,4.515,0.1,0.075,0.04,10.884,0.1,3.676288757,0.02742543
59,KOI-92,5922.6,60,4.394,0.1,0.086,0.04,11.667,0.1,3.621634835,0.024869134
60,Kepler-132,5909.6,60,4.414,0.1,-0.201,0.04,11.818,0.1,3.619691905,0.293658106
61,KOI-2686,4712.8,60,4.617,0.1,-0.049,0.04,13.855,0.1,3.618316677,0.01255186
62,KOI-3087,5319.8,60,4.547,0.1,0.276,0.04,12.837,0.1,3.595786642,0.02274066
63,Kepler-1349,5969.6,60,4.238,0.1,0.2,0.04,11.126,0.1,3.590233653,0.024628504
64,Kepler-743,5509,60,4.59,0.1,0.119,0.04,12.55,0.1,3.555752398,0.026412727
65,KOI-3197,6187.2,60,4.43,0.1,-0.063,0.04,11.531,0.1,3.538005539,0.03465708
66,Kepler-1088,5942.9,60,4.448,0.1,0.011,0.04,11.863,0.1,3.534608519,0.019741867
67,Kepler-20,5507.6,60,4.469,0.1,0.108,0.04,12.498,0.1,3.510258743,0.021933523
68,Kepler-1008,5045.3,60,4.612,0.1,-0.028,0.04,13.395,0.1,3.510135182,0.015888203
69,Kepler-960,4773.4,60,4.638,0.1,0.061,0.04,13.884,0.1,3.48098099,0.019560127
70,Kepler-202,4761.9,60,4.58,0.1,-0.207,0.04,13.872,0.1,3.478496648,0.013594924
71,KOI-2803,5575.1,60,4.348,0.1,0.169,0.04,12.258,0.1,3.476188697,0.022595037
72,KOI-3165,6267.1,60,4.147,0.1,-0.17,0.04,10.335,0.1,3.446322024,0.020507791
73,Kepler-517,5562.5,60,4.366,0.1,-0.16,0.04,12.193,0.1,3.420685634,0.024273126
74,KOI-3130,4866.1,60,4.635,0.1,-0.472,0.04,13.752,0.1,3.394474882,0.015436579
75,KOI-269,6302.5,60,4.248,0.1,-0.071,0.04,10.927,0.1,3.357785977,0.025396323
76,KOI-3232,5737.7,60,4.48,0.1,0.06,0.04,12.253,0.1,3.338010238,0.020408355
77,BD+46 2597,6336.6,60,4.175,0.1,0.11,0.04,10.268,0.1,3.329537294,0.026810916
78,Kepler-858,5511.3,60,4.381,0.1,0.016,0.04,12.45,0.1,3.320959602,0.021824242
79,KOI-3208,5845.7,60,4.451,0.1,-0.12,0.04,11.893,0.1,3.318028062,0.022256014
80,KOI-2636,5857.5,60,4.404,0.1,0.072,0.04,12.32,0.1,3.316875549,0.020471657
81,Kepler-1312,5755.8,60,4.632,0.1,0.127,0.04,12.43,0.1,3.31466017,0.02537443
82,KOI-1019,5017.8,60,3.551,0.1,0.174,0.04,10.266,0.1,3.302372415,0.021702647
83,Kepler-62,4858.8,60,4.593,0.1,-0.343,0.04,13.725,0.1,3.294735846,0.013368358
84,Kepler-141,5019.3,60,4.538,0.1,0.333,0.04,13.448,0.1,3.291354277,0.014263261
85,BD+45 2860,6284.4,60,4.083,0.1,-0.161,0.04,10.438,0.1,3.285672701,0.026466612
86,Kepler-533,4790.3,60,4.549,0.1,0.07,0.04,13.933,0.1,3.271943307,0.015568284
87,Kepler-137,5236.9,60,4.495,0.1,0.046,0.04,12.99,0.1,3.271755829,0.019870503
88,BD+40 3638,6219.8,60,4.213,0.1,0.131,0.04,11.018,0.1,3.263838525,0.028876867
89,Kepler-100,5854.3,60,4.073,0.1,0.102,0.04,11.197,0.1,3.253697582,0.01875313
90,KOI-1985,4949.8,60,4.638,0.1,0.014,0.04,13.708,0.1,3.241302972,0.01468791
91,Kepler-48,5234.8,60,4.459,0.1,0.256,0.04,13.04,0.1,3.231323788,0.019139857
92,Kepler-1039,4766.3,60,4.567,0.1,0.134,0.04,14.145,0.1,3.229516722,0.020369992
93,Kepler-539,5815.7,60,4.597,0.1,-0.016,0.04,12.391,0.1,3.225735247,0.037082322
94,Kepler-211,5193.4,60,4.63,0.1,0.181,0.04,13.283,0.1,3.203716131,0.018018258
95,KOI-2771,6164.8,60,4.438,0.1,-0.062,0.04,11.751,0.1,3.203495011,0.024162153
96,Kepler-909,6042.3,60,4.265,0.1,0.17,0.04,11.538,0.1,3.201258097,0.021643461
97,KOI-2522,4982.6,60,4.55,0.1,0.233,0.04,13.713,0.1,3.200112644,0.015640482
98,Kepler-1499,5042.1,60,4.619,0.1,0.193,0.04,13.509,0.1,3.198304472,0.016187753
99,Kepler-1512,4807.8,60,4.678,0.1,0.105,0.04,13.393,0.1,3.171827653,0.240472566
100,Kepler-532,5120.1,60,4.676,0.1,0.097,0.04,13.524,0.1,3.168166834,0.019671856
101,Kepler-482,4733.5,60,4.413,0.1,-0.273,0.04,13.779,0.1,3.165484658,0.022866169
102,KOI-4407,6401,60,4.244,0.1,-0.166,0.04,11.179,0.1,3.156743544,0.023159356
103,Kepler-1444,5875,60,4.571,0.1,0.215,0.04,12.325,0.1,3.09939698,0.020605503
104,Kepler-1507,5296.8,60,4.56,0.1,0.047,0.04,13.136,0.1,3.091440448,0.014268237
105,Kepler-884,5746.9,60,4.386,0.1,-0.088,0.04,13.069,0.1,3.089273343,0.230805556
106,KOI-3991,5605.9,60,4.619,0.1,-0.023,0.04,13.14,0.1,3.059126962,0.106750804
107,KOI-3196,6108.8,60,4.275,0.1,-0.006,0.04,11.525,0.1,3.051414224,0.021028967
108,Kepler-1558,5091.9,60,4.645,0.1,0.244,0.04,13.632,0.1,3.041071126,0.014325044
109,KOI-687,5879.3,60,4.389,0.1,0.084,0.04,13.813,0.1,3.030951386,0.246561651
110,Kepler-973,5180.9,60,4.592,0.1,0.044,0.04,13.218,0.1,3.01592091,0.042804533
111,KOI-3218,5962.4,60,4.399,0.1,0.024,0.04,12.107,0.1,2.997874669,0.019061996
112,Kepler-197,5944.9,60,4.32,0.1,-0.401,0.04,11.811,0.1,2.996280539,0.021143379
113,KOI-4129,5078.5,60,4.51,0.1,0.147,0.04,13.506,0.1,2.995605637,0.021083754
114,Kepler-509,5951.6,60,4.283,0.1,-0.025,0.04,11.854,0.1,2.979634739,0.033578965
115,Kepler-134,5917.6,60,4.491,0.1,-0.167,0.04,12.324,0.1,2.958124722,0.021136919
116,KOI-8,5891.1,60,4.535,0.1,-0.066,0.04,12.45,0.1,2.957999912,0.023823308
117,Kepler-1544,4852.2,60,4.606,0.1,0.01,0.04,14.061,0.1,2.955397234,0.014657179
118,KOI-650,5058.3,60,4.526,0.1,0.046,0.04,13.594,0.1,2.951598164,0.013810725
119,Kepler-518,5801.6,60,4.556,0.1,-0.14,0.04,12.549,0.1,2.930796136,0.025191922
120,Kepler-971,5516.9,60,4.665,0.1,0.166,0.04,13.237,0.1,2.926819907,0.057443366
121,Kepler-407,5555.6,60,4.253,0.1,0.411,0.04,12.521,0.1,2.926617117,0.021783974
122,Kepler-808,4758.6,60,4.521,0.1,0.034,0.04,14.285,0.1,2.913548317,0.126134677
123,KOI-2583,5605.4,60,4.398,0.1,0.109,0.04,12.623,0.1,2.904100525,0.02151369
124,BD+47 2846,6448.6,60,4.134,0.1,0.203,0.04,10.463,0.1,2.903104724,0.020597048
125,KOI-3473,5156.4,60,4.65,0.1,0.046,0.04,13.851,0.1,2.882642073,0.019895726
126,Kepler-86,5676.2,60,4.449,0.1,-0.026,0.04,12.62,0.1,2.879622444,0.030163405
127,Kepler-332,4955.1,60,4.66,0.1,-0.131,0.04,14.017,0.1,2.876496356,0.015147169
128,Kepler-1066,5557.7,60,4.67,0.1,0.096,0.04,13.007,0.1,2.876127618,0.021083028
129,Kepler-421,5223.5,60,4.568,0.1,-0.226,0.04,13.354,0.1,2.840111758,0.016555979
130,Kepler-127,6124.8,60,4.217,0.1,0.24,0.04,11.485,0.1,2.805769722,0.021303798
131,KOI-3254,5575.7,60,4.237,0.1,0.315,0.04,12.496,0.1,2.801017163,0.025215629
132,Kepler-806,5737.1,60,4.134,0.1,-0.253,0.04,11.731,0.1,2.734528258,0.021986299
133,Kepler-1087,5476.3,60,4.391,0.1,0.402,0.04,12.953,0.1,2.729111028,0.026231924
134,Kepler-406,5656.5,60,4.318,0.1,0.28,0.04,12.52,0.1,2.71840566,0.025243157
135,KOI-3248,5728.8,60,4.304,0.1,-0.017,0.04,12.419,0.1,2.702244816,0.022806006
136,KOI-4657,5317.5,60,4.48,0.1,-0.053,0.04,13.241,0.1,2.688093871,0.019714473
137,KOI-3227,5919.4,60,4.297,0.1,0.031,0.04,12.222,0.1,2.679922027,0.030703755
138,Kepler-1339,5874.4,60,4.382,0.1,-0.084,0.04,12.299,0.1,2.667942113,0.057274484
139,KOI-2503,4885.3,60,4.514,0.1,0.182,0.04,14.146,0.1,2.64059215,0.017085717
140,KOI-373,5737.8,60,4.472,0.1,-0.326,0.04,12.765,0.1,2.634238464,0.021152618
141,Kepler-1173,5076.1,60,4.53,0.1,0.166,0.04,13.829,0.1,2.623275271,0.016738625
142,Kepler-466,5805,60,4.339,0.1,-0.029,0.04,12.772,0.1,2.606904113,0.202670471
143,Kepler-484,5651.5,60,4.581,0.1,0.064,0.04,13.024,0.1,2.58808148,0.019023337
144,Kepler-1525,5605.3,60,4.268,0.1,0.246,0.04,12.737,0.1,2.582300562,0.020889058
145,Kepler-321,5740.9,60,4.393,0.1,0.116,0.04,12.706,0.1,2.571827886,0.022551127
146,Kepler-174,4693,60,4.532,0.1,-0.564,0.04,14.287,0.1,2.570238699,0.017996033
147,Kepler-144,6182.4,60,4.326,0.1,-0.134,0.04,11.992,0.1,2.569247512,0.021678121
148,Kepler-221,5260.3,60,4.677,0.1,0.043,0.04,13.749,0.1,2.567082453,0.018948549
149,Kepler-1361,5036.8,60,4.52,0.1,0.083,0.04,13.93,0.1,2.540862041,0.013731261
150,Kepler-1055,5681.5,60,4.624,0.1,0.058,0.04,13.09,0.1,2.539232435,0.016022117
151,Kepler-540,5842.4,60,4.352,0.1,-0.183,0.04,12.209,0.1,2.533056838,0.025742308
152,Kepler-969,5243.3,60,4.632,0.1,0.151,0.04,13.733,0.1,2.532942582,0.016750573
153,KOI-704,5265.8,60,4.612,0.1,-0.076,0.04,13.704,0.1,2.531585927,0.01337261
154,Kepler-139,5630.5,60,4.284,0.1,0.349,0.04,12.701,0.1,2.528742817,0.027215528
155,Kepler-507,6030.1,60,4.235,0.1,0.141,0.04,11.994,0.1,2.524622889,0.020835467
156,KOI-102,5758.8,60,4.338,0.1,0.241,0.04,12.566,0.1,2.517730964,0.026996606
157,Kepler-1141,5836.9,60,4.27,0.1,0.103,0.04,12.589,0.1,2.511736763,0.024171448
158,Kepler-652,5392.8,60,4.583,0.1,0.139,0.04,13.393,0.1,2.505643777,0.013659527
159,Kepler-463,5566.6,60,4.376,0.1,-0.353,0.04,12.87,0.1,2.504250976,0.022284701
160,Kepler-128,6081.2,60,4.091,0.1,-0.032,0.04,11.39,0.1,2.494212437,0.024696597
161,KOI-3117,5562.9,60,4.54,0.1,0.101,0.04,13.163,0.1,2.491932176,0.015339574
162,KOI-1796,6012.7,60,4.485,0.1,-0.007,0.04,12.829,0.1,2.485464062,0.027257422
163,Kepler-775,5354.2,60,4.51,0.1,-0.038,0.04,13.507,0.1,2.479418655,0.013311515
164,Kepler-755,5066.8,60,4.576,0.1,0.084,0.04,13.999,0.1,2.477253139,0.016655594
165,Kepler-1542,5544.8,60,4.263,0.1,0.071,0.04,12.639,0.1,2.476914239,0.024410978
