Simbad,vsini,e_vsini
WOH S 10,8.267322977,0.738263717
WOH G 3,4.8263114,0.517793203
WASP-126,5.151506076,0.473041436
W61 17-47,6.431204218,1.563802306
UCAC4 157-004121,4.958704206,2
UCAC3 63-9679,4.777718074,2
UCAC3 60-9624,7.385701091,1.082004158
UCAC3 60-9540,7.815239718,1.469805482
UCAC3 60-9129,4.637634891,0.967006935
UCAC3 59-9025,6.126910469,0.532506505
UCAC3 59-10623,5.379836338,2
UCAC3 54-11609,6.751723631,2
UCAC3 47-8392,4.914918151,1.173264418
UCAC3 40-9541,4.999828959,1.643674549
UCAC2 7438804,6.41939038,0.753644131
UCAC2 7196145,7.492301073,0.571646582
UCAC2 682056,6.309389458,2
UCAC2 6493058,6.186244395,2
UCAC2 6486024,8.546126766,2
UCAC2 6485974,5.563209824,2
UCAC2 6251217,4.301737118,2
UCAC2 6242148,5.714379505,1.267764434
UCAC2 6242002,5.217443873,2
UCAC2 6002644,5.344067652,0.666885581
UCAC2 578263,10.78827041,2
UCAC2 5741490,7.290687544,1.877417492
UCAC2 5237080,6.655134359,1.095494485
UCAC2 5236049,6.130302814,2
UCAC2 5235925,5.710122835,1.515164203
UCAC2 5235845,6.358198198,1.744645251
UCAC2 5235763,4.721008276,0.87009159
UCAC2 5235642,4.90734022,2
UCAC2 4972148,4.976083373,0.54083941
UCAC2 4965941,5.383933953,2
UCAC2 4965854,4.748170937,0.936516461
UCAC2 4965821,4.769805074,0.699304372
UCAC2 4965674,7.831195322,0.52891152
UCAC2 4965582,5.547664825,1.075533731
UCAC2 4712799,5.425013639,1.511836919
UCAC2 4712112,4.96336457,1.460355142
UCAC2 4708631,10.85753732,1.569803494
UCAC2 4707482,5.314548378,1.260811017
UCAC2 4707425,5.071840217,1.00457655
UCAC2 4707362,6.594108518,1.420239319
UCAC2 4469549,8.616058555,0.483612181
UCAC2 4468428,12.40365437,2
UCAC2 4466316,7.191009335,0.519848544
UCAC2 4464916,8.570957363,2
UCAC2 4464533,4.107332891,2
UCAC2 4244373,5.639532461,1.17504636
UCAC2 4242951,5.790239933,2
UCAC2 4242914,4.737747306,1.668810878
UCAC2 4043827,5.099037402,0.470366137
UCAC2 4040504,10.49263307,1.288646523
UCAC2 4037028,5.73044474,2
UCAC2 4035427,5.184904397,1.058019836
UCAC2 4035341,5.03770467,1.345181566
UCAC2 3839153,4.80072049,0.879419495
UCAC2 3834704,4.34406434,2
UCAC2 3831179,8.815836356,0.480879255
UCAC2 3831136,6.929538007,0.630557441
UCAC2 3830565,6.762041759,2
UCAC2 3829080,7.223465379,0.774724609
UCAC2 3828951,6.668454093,1.36693264
UCAC2 3828887,5.224483761,1.675724664
UCAC2 3828836,5.486675297,0.942692769
UCAC2 3631875,4.098323276,2
UCAC2 3629798,4.391537275,2
UCAC2 3627601,4.826194629,1.264903101
UCAC2 3622264,6.664744127,0.718390249
UCAC2 3622018,5.461486006,1.002181114
UCAC2 3621413,5.00088882,0.606133928
UCAC2 3620211,10.08931451,1.007446076
UCAC2 3620084,4.8910423,0.70641767
UCAC2 3424489,4.643050074,0.555777486
UCAC2 3424489,2.18,0.5
UCAC2 3422689,7.061913957,1.222543997
UCAC2 3422299,8.686042013,1.078615628
UCAC2 3224743,5.968220204,2
