Name,prot,e_prot
KOI-3165,47.641701,
KIC 3946894,39.309,0.066
LSPM J1909+3910,38.550499,
KIC 10713157,28.996,0.14
KIC 9703982,28.715,0.138
KIC 8279080,28.436,0.163
KIC 11818865,28.325,0.725
KIC 10845569,27.797,0.119
KIC 7870543,27.666,0.102
KIC 6440881,27.541,0.136
KIC 12598384,27.403,0.02
KIC 7501009,27.366,0.295
KIC 2834754,27.236,0.09
KIC 6607551,27.167,0.485
KIC 9834837,27.102,0.124
KIC 11455532,27.082,0.157
KIC 12736837,27.021,0.414
KIC 11873687,27.017,0.155
KIC 7908791,27.016,0.292
KIC 11957042,26.975,0.079
KIC 8226436,26.966,0.263
KIC 4280515,26.954,0.202
KIC 8164449,26.893,0.078
KIC 5096924,26.855,0.016
KIC 9827048,26.821,0.027
KIC 10667953,26.767,1.658
KIC 12104915,26.706,0.232
KIC 7366283,26.572,0.13
KIC 10659317,26.479,0.031
TYC 3130-160-1,26.441,
KIC 12121664,26.361,0.121
KIC 12357155,26.174,0.168
KIC 3648712,26.158,0.102
KIC 7800958,26.157,0.369
KIC 3941415,26.149,0.191
KIC 4660838,26.14,0.219
KIC 7755924,26.134,0.138
KIC 10417031,26.121,0.736
KIC 9401635,26.067,0.151
KIC 12884971,25.991,0.085
KIC 8554218,25.935,0.816
KIC 10809258,25.912,0.188
KIC 10741848,25.876,0.073
KIC 5438471,25.871,0.521
KIC 8153822,25.833,0.072
KIC 8243228,25.832,0.163
KIC 7368978,25.825,0.049
KIC 7841525,25.801,0.219
KIC 7906803,25.781,0.578
KIC 8579717,25.733,0.1
KIC 8689739,25.652,0.163
KIC 4367215,25.65,0.106
KIC 9700065,25.605,0.351
KIC 6611419,25.585,0.051
KIC 6700225,25.582,0.151
KIC 6124396,25.551,0.445
KIC 5107349,25.535,0.157
KIC 8771592,25.508,0.314
KIC 7612528,25.493,0.194
KIC 4173626,25.483,0.601
KIC 8181624,25.457,0.496
KIC 10936256,25.452,0.572
KIC 9286527,25.401,0.269
KIC 7609420,25.377,0.146
KIC 2441409,25.364,0.075
KIC 11966922,25.352,0.049
KIC 8878678,25.339,0.039
KIC 9071384,25.322,0.071
KIC 7747625,25.32,0.341
KOI-7798,25.315,0.119
KIC 9455236,25.306,0.244
KIC 5529014,25.298,0.133
KIC 11087452,25.259,0.242
KIC 8581480,25.253,0.946
KIC 3958707,25.24,0.101
KIC 9594041,25.236,0.121
KIC 10960488,25.161,0.088
KIC 6041761,25.158,0.108
KIC 8122299,25.138,0.685
KIC 4457446,25.111,0.136
KIC 11143577,25.094,0.095
KOI-5535,25.084,0.039
KIC 12555779,25.071,0.047
KIC 9653422,25.06,0.148
KIC 7048799,25.05,0.2
KIC 6697447,25.04,0.082
KIC 3526312,25.005,0.045
KIC 9211154,24.962,0.108
KIC 10338245,24.962,0.11
KIC 8079074,24.92,0.177
KIC 9885607,24.913,0.064
KIC 4457582,24.894,0.111
KIC 10396560,24.863,0.06
KIC 8555749,24.809,0.053
KIC 10398659,24.791,0.04
KIC 9780199,24.788,0.422
KIC 9580987,24.769,0.289
KIC 7626785,24.745,0.345
KIC 8013573,24.735,0.138
KIC 11873474,24.72,0.276
KIC 6137794,24.701,0.05
KIC 9266689,24.689,0.07
KIC 7186201,24.684,0.411
KIC 4380542,24.655,0.242
KIC 7765677,24.641,0.058
KIC 5953100,24.636,0.21
KIC 12306983,24.623,0.069
KIC 7732168,24.597,0.067
KIC 3442846,24.59,0.278
KIC 7019309,24.576,0.054
KIC 8161585,24.562,0.049
KIC 12059865,24.557,0.07
KIC 5286679,24.551,0.359
KIC 8565235,24.546,0.338
KIC 10019818,24.509,0.033
KIC 7678396,24.487,0.234
KIC 2859045,24.459,0.09
KIC 7799405,24.444,0.652
KIC 7255509,24.434,0.146
KIC 11671164,24.431,0.081
KIC 8482607,24.423,0.273
KIC 12006467,24.419,0.076
KIC 11297936,24.4,0.084
KIC 4275230,24.383,0.244
KIC 11706824,24.378,0.115
KIC 9655661,24.374,0.221
KIC 6026859,24.362,0.122
KIC 12457498,24.331,0.234
KIC 2714431,24.326,0.185
KIC 4545145,24.315,0.04
KIC 12644712,24.293,0.07
KIC 12304029,24.285,0.069
KIC 11183754,24.284,0.398
KIC 10966293,24.239,0.296
TYC 3544-1063-1,24.205,0.079
KIC 7133235,24.201,0.067
KIC 10468501,24.188,1.071
KIC 7009179,24.178,0.067
KIC 8182224,24.137,0.605
KIC 2995185,24.123,0.057
KIC 5608478,24.086,0.822
KIC 12314028,24.036,0.158
KIC 10549395,24.025,0.069
KIC 10279927,24.018,0.141
KIC 9265173,24.004,0.124
KIC 7185757,23.935,0.082
TYC 3138-1924-1,23.9349,
KIC 6183182,23.933,0.642
KIC 7848638,23.925,0.148
KIC 10468695,23.922,0.167
KIC 12214389,23.92,0.085
KIC 9971294,23.912,0.117
KIC 5083085,23.911,0.176
KIC 5171285,23.901,0.153
KIC 9848298,23.9,0.147
KIC 7267578,23.891,0.05
TYC 3143-2078-1,23.87,0.073
KIC 7212151,23.842,0.026
KIC 7517686,23.837,0.437
KIC 3648289,23.831,0.286
KIC 2708787,23.83,0.047
KIC 7523705,23.804,0.128
KIC 3626713,23.766,0.198
KIC 11152057,23.765,0.073
KIC 11970042,23.761,0.099
KIC 4737215,23.756,0.165
KIC 5264059,23.752,0.113
KIC 12256112,23.748,0.118
KIC 9455756,23.727,0.376
KIC 9820524,23.718,0.247
KIC 8558594,23.716,0.139
KOI-5419,23.69,0.064
TYC 3135-287-1,23.672,4.356
KIC 7668661,23.646,0.233
KIC 7676756,23.632,0.426
KIC 9071518,23.621,0.155
KIC 3459917,23.586,0.134
TYC 3564-473-1,23.575,0.117
KIC 10387800,23.569,0.081
KIC 6594158,23.565,0.04
KIC 11862824,23.546,0.349
KIC 2576013,23.532,0.154
KIC 8808134,23.507,0.127
KIC 11516334,23.506,0.221
KIC 7272511,23.485,0.081
KIC 11233004,23.47,0.165
KIC 4933568,23.466,1.004
KIC 5357850,23.454,0.043
KIC 11141091,23.446,0.373
KIC 2692271,23.445,0.278
KIC 8344231,23.441,0.323
KIC 8112379,23.425,0.397
KIC 12453791,23.417,0.047
KOI-5203,23.411,0.152
KIC 6764335,23.408,0.762
KIC 12454007,23.395,0.065
KIC 10459632,23.378,0.081
KIC 9763437,23.359,0.192
KIC 10603757,23.357,0.334
KIC 9774285,23.337,0.202
KIC 6939026,23.327,0.423
KIC 11457072,23.32,0.126
