Name,P_rot,P_rot_err,Prot_errm,Prot_errp
KOI-92,16.38177964,,0.134780003,0.137932025
KOI-704,20.912,0.087,,
KOI-687,19.025,0.065,,
KOI-683,16.62360614,,0.121676683,0.135106022
KOI-650,36.367,0.522,,
KOI-635,8.895604117,,0.044551242,0.047234894
KOI-6102,11.69666709,,0.00934876,0.010099582
KOI-5216,20.96772081,,0.307436868,0.340796149
KOI-4746,11.11059719,,0.061913281,0.070056414
KOI-466,14.852,0.019,,
KOI-4251,17.97966304,,0.107878663,0.097064844
KOI-4098,15.3742897,,0.071888973,0.072292045
KOI-4053,9.274859944,,0.051676646,0.0539072
KOI-4004,6.208445228,,0.019156538,0.020308578
KOI-4002,18.73759127,,0.085448165,0.091302918
KOI-3936,7.232307323,,0.018528715,0.018275473
KOI-3876,4.725579021,,0.010649394,0.011472725
KOI-350,20.78178947,,0.379080536,0.412727983
KOI-3473,7.841695743,,0.028483345,0.029821793
KOI-3422,10.00701336,,0.039764314,0.041986169
KOI-340,12.942,0.018,,
KOI-3278,12.46278626,,0.073649159,0.072425407
KOI-3239,5.029470994,,0.016625461,0.016487535
KOI-3218,14.38523868,,0.122648634,0.122159024
KOI-3197,7.234991267,,0.038832359,0.040583249
KOI-3194,10.79493543,,0.029649654,0.030047858
KOI-319,19.654,0.151,,
KOI-3167,12.81522045,,0.047027661,0.046018117
KOI-3165,5.495777014,,0.051548026,0.060993673
KOI-315,33.40470267,,0.919484296,0.588049078
KOI-3130,27.016,0.398,,
KOI-3117,23.72352794,,0.171984062,0.168694805
KOI-3114,12.08178097,,0.153596808,0.147593682
KOI-3087,18.95683123,,0.116556827,0.124274152
KOI-3083,21.46869798,,0.321612098,0.367610089
KOI-3065,15.033,0.104,,
KOI-3052,27.82,0.267,,
KOI-3029,18.766,0.169,,
KOI-2992,15.022,0.005,,
KOI-2974,10.7878357,,0.017134694,0.017182104
KOI-2971,5.513,0.008,,
KOI-288,13.38,0.099,,
KOI-2875,23.29864244,,0.14394381,0.156721311
KOI-2848,22.999,0.041,,
KOI-2835,23.531,0.007,,
KOI-2803,16.929,0.014,,
KOI-2771,2.664,0.002,,
KOI-2763,26.667,0.311,,
KOI-2733,12.372,0.004,,
KOI-2690,12.36,0.007,,
KOI-269,5.274,0.033,,
KOI-2687,14.223,0.032,,
KOI-2686,22.059,0.086,,
KOI-2680,4.886,0.001,,
KOI-2679,2.199,0.001,,
KOI-2636,16.228,0.026,,
KOI-2607,16.02160177,,0.137681723,0.164226315
KOI-2581,29.908,0.217,,
KOI-2571,33.67,0.541,,
KOI-2522,38.5275944,,0.458719518,0.45567333
KOI-2474,25.124,0.224,,
KOI-2469,37.31353899,,0.365192806,0.386410021
KOI-2398,1.536434988,,0.244193933,7.906654887
KOI-2370,1.776,0.002,,
KOI-2367,11.216,0.065,,
KOI-2358,5.831,0.025,,
KOI-2250,24.32,0.02,,
KOI-2248,14.742,0.008,,
KOI-2228,9.511,0.005,,
KOI-2219,42.5340568,,0.830783617,0.929588159
KOI-2159,19.77921979,,0.23103593,0.235969245
KOI-2120,19.883,0.015,,
KOI-2037,10.74,0.006,,
KOI-2001,16.362,0.02,,
KOI-1985,25.791,0.223,,
KOI-1964,26.25245223,,12.98856485,0.323013394
KOI-1944,13.543,0.017,,
KOI-1863,11.533,0.062,,
KOI-1861,6.524,0.007,,
KOI-1857,23.71631763,,2.214382975,4.193823483
KOI-1856,27.566,0.154,,
KOI-1822,11.534,0.07,,
KOI-1812,3.935451957,,2.33712371,3.263559024
KOI-1808,8.728543045,,0.063514873,0.064497532
KOI-1803,22.96099097,,0.222701951,0.243753907
KOI-1738,35.873,1.281,,
KOI-1619,30.445,3.773,,
KOI-1590,32.244,3.861,,
KOI-1537,12.776,0.01,,
KOI-1477,21.958,0.053,,
KOI-1145,13.003,0.063,,
KOI-103,23.156,0.155,,
KOI-1010,9.536,0.027,,
Kepler-999,7.306,0.045,,
Kepler-997,11.72417565,,0.100688034,0.105614894
Kepler-992,25.953,0.023,,
Kepler-990,31.085,1.232,,
Kepler-99,31.45500786,,0.371723707,0.316245502
Kepler-985,18.525,0.026,,
Kepler-984,25.4018586,,0.277190116,0.256815419
Kepler-98,22.965,0.049,,
Kepler-978,18.725,0.041,,
Kepler-973,25.75108105,,0.174497824,0.181810323
Kepler-971,6.248,0.001,,
Kepler-969,18.125,0.006,,
Kepler-964,10.187,0.003,,
