Name,Prot,e_prot
KIC 9999899,27.04,2.56
KIC 9995651,25.4,1.8
KIC 9964199,26.97,0.99
KIC 9962690,15.66,1.32
KIC 9958103,13.24,0.86
KIC 9957982,12.61,0.93
KIC 9957526,23.38,1.97
KIC 9957305,30,2.44
KIC 9957244,24.71,1.82
KIC 9956996,12.44,0.94
KIC 9956737,2.15,0.14
KIC 9956587,31.27,2.49
KIC 9956479,12.02,0.94
KIC 9955900,33.75,3.57
KIC 9953265,24.88,2.32
KIC 9950160,26.85,2.01
KIC 9939081,15.75,1.19
KIC 9933683,7.87,0.76
KIC 9898367,21.38,2.57
KIC 9898234,20.49,1.66
KIC 9897730,9.43,0.72
KIC 9897724,18.99,1.7
KIC 9897565,12.44,0.95
KIC 9897555,34.22,5.4
KIC 9897237,14.19,1.15
KIC 9897078,12.18,1.03
KIC 9897050,11.77,1.07
KIC 9897045,16.1,1.79
KIC 9897024,30.84,3.19
KIC 9896711,12.71,1.09
KIC 9896424,29.79,3.23
KIC 9895719,24.88,2.3
KIC 9895567,12.1,0.88
KIC 9893917,25.23,2.34
KIC 9884331,32.6,3.66
KIC 9883323,25.05,1.98
KIC 9874054,24.71,2.45
KIC 9872887,27.42,2.4
KIC 9872451,23.71,2.79
KIC 9843294,17.86,1.74
KIC 9839659,23.72,2.58
KIC 9838655,12.36,1.03
KIC 9838166,12.02,0.95
KIC 9838031,32.83,3.57
KIC 9837950,12.02,0.88
KIC 9837667,23.38,1.96
KIC 9837638,24.03,2.56
KIC 9837622,28.38,3.13
KIC 9837550,12.93,1.08
KIC 9837538,34.22,2.28
KIC 9837294,12.97,0.96
KIC 9837084,19.25,1.72
KIC 9837055,14.9,1.17
KIC 9836976,23.04,3.08
KIC 9836918,11.85,0.86
KIC 9836754,18.09,1.47
KIC 9836683,24.39,2.9
KIC 9836401,12.79,0.88
KIC 9836189,17.96,1.66
KIC 9835757,16.99,1.29
KIC 9835385,26.67,4.63
KIC 9824638,41.85,5.2
KIC 9824162,30.21,3.27
KIC 9823298,19.27,1.56
KIC 9823251,35.93,5.07
KIC 9815159,13.8,1.02
KIC 9812667,42.13,6.02
KIC 9778542,17.35,1.26
KIC 9778511,35.68,3.82
KIC 9778420,20.78,2.11
KIC 9777854,5.88,0.43
KIC 9777820,23.22,2.23
KIC 9777480,32.15,2.51
KIC 9777334,20.64,2.12
KIC 9776429,18.98,0.71
KIC 9776403,15.31,0.9
KIC 9776100,11.37,0.39
KIC 9776088,27.42,3.01
KIC 9775859,15.96,0.93
KIC 9775564,15.11,1.23
KIC 9775487,22.11,2.05
KIC 9775402,28.98,2.57
KIC 9775369,21.82,1.53
KIC 9775301,19.95,1.56
KIC 9775261,9.56,0.7
KIC 9771196,38.24,4.13
KIC 9766263,34.22,4.21
KIC 9762986,22.9,2.4
KIC 9762810,6.57,0.46
KIC 9760907,24.2,1.71
KIC 9760181,17.97,1.44
KIC 9718001,17.59,1.31
KIC 9717599,12.44,0.96
KIC 9717490,13.52,1.05
KIC 9717355,8.43,0.53
KIC 9717287,18.73,1.51
KIC 9717223,12.18,0.91
KIC 9717176,14.08,1.59
KIC 9716884,5.19,0.35
KIC 9716799,15.64,0.98
KIC 9716408,11.93,1.03
KIC 9716388,11.45,0.93
KIC 9716288,16.42,1.52
KIC 9716262,21.07,0.82
KIC 9716135,12.02,0.87
KIC 9716061,29.79,2.49
KIC 9715904,20.95,1.6
KIC 9715903,20.78,1.55
KIC 9715549,11.69,1.04
KIC 9715355,1.11,0.07
KIC 9715091,24.37,2.17
KIC 9715007,19.52,1.5
KIC 9714978,11.77,0.96
KIC 9714973,11.69,0.83
KIC 9714493,5.84,0.42
KIC 9702391,34.46,5.9
KIC 9701675,12.44,1.29
KIC 9698163,24.71,2.12
KIC 9697244,14.49,0.94
KIC 9697122,36.43,5.18
KIC 9696296,29.79,3.47
KIC 9692565,23.7,2.84
KIC 9657031,19.66,2.07
KIC 9656787,26.12,2.22
KIC 9656681,12.1,0.88
KIC 9656540,27.04,2.42
KIC 9656537,13.06,0.92
KIC 9656522,11.21,0.9
KIC 9656509,28.39,2.63
KIC 9656431,22.9,2.05
KIC 9656396,24.7,0.95
KIC 9656395,21.21,1.67
KIC 9655904,19.66,0.85
KIC 9655566,11.21,0.89
KIC 9655507,21.36,2.19
KIC 9655308,26.66,2.21
KIC 9655117,19.25,1.75
KIC 9655046,8.98,0.75
KIC 9655038,14.8,1.46
KIC 9654976,16.99,1.32
KIC 9654809,12.27,1.26
KIC 9654656,19.12,1.56
KIC 9654434,12.53,0.94
KIC 9650965,27.8,2.7
KIC 9641763,15.11,1.25
KIC 9636761,22.27,2
KIC 9636465,3.83,0.27
KIC 9635341,29.58,0.84
KIC 9596243,28.78,2.93
KIC 9596134,11.77,0.94
KIC 9596073,11.44,0.39
KIC 9595991,23.37,1.98
KIC 9595937,20.07,2.1
KIC 9595587,9.11,0.76
KIC 9595179,20.35,1.47
KIC 9595150,28.19,2.18
KIC 9595007,18.48,1.99
KIC 9594924,33.29,3.62
KIC 9594812,25.58,2.53
KIC 9594229,18.86,1.54
KIC 9594024,19.94,1.8
KIC 9593982,25.58,1.84
KIC 9593970,18.21,1.59
KIC 9593901,30.63,1.16
KIC 9593624,31.93,3.13
KIC 9593540,14.1,1.18
KIC 9593467,28.18,1.87
KIC 9593432,1.19,0.08
KIC 9593324,15.85,0.55
KIC 9592955,25.05,3.31
KIC 9592522,14.59,0.49
KIC 9592497,22.59,2.03
KIC 9592491,21.81,1.94
KIC 9592397,43.32,4.2
