Name,vsini,e_vsini,prot,e_prot,e_prot(L),e_prot(U)
KOI-682,2,1,,,,
KOI-5155,1.3,1,,,,
KOI-4452,1.8,1,,,,
KOI-4374,1.3,1,,,,
KOI-2970,5.1,1,,,,
KOI-2398,8.2,1,,,,
KOI-2228,12.7,1,,,,
KOI-1861,7.7,1,,,,
KOI-1738,2.3,1,,,,
Kepler-648,1.6,1,,,,
Kepler-640,1.8,1,,,,
Kepler-626,0.6,1,,,,
Kepler-392,1.8,1,,,,
Kepler-1158,7.6,1,,,,
CHECKGJ 1245AC,17.4,1.4,,,,
BD+42 3339,5,1,,,,
Z 229-21,3.8,1,,,,
Wolf 461,16.8,2.1,,,,
W61 7-9,73,30,,,,
W61 7-7,82,30,,,,
W61 7-19,64,9,,,,
W61 7-18,66,10,,,,
W61 7-12,66,20,,,,
VFTS 849,49,12,,,,
VFTS 843,58,14,,,,
VFTS 819,45,20,,,,
VFTS 797,47,20,,,,
VFTS 787,47,20,,,,
VFTS 782,65,7,,,,
VFTS 777,138,13,,,,
VFTS 768,52,30,,,,
VFTS 761,52,8,,,,
VFTS 746,47,20,,,,
VFTS 724,59,30,,,,
VFTS 722,404,22,,,,
VFTS 710,55,20,,,,
VFTS 704,55,20,,,,
VFTS 70,377,20,,,,
VFTS 67,413,20,,,,
VFTS 663,61,20,,,,
VFTS 65,429,20,,,,
VFTS 647,69,30,,,,
VFTS 638,70,20,,,,
VFTS 634,71,30,,,,
VFTS 574,95,20,,,,
VFTS 565,113,30,,,,
VFTS 521,127,30,,,,
VFTS 517,99,20,,,,
VFTS 399,124,18,,,,
VFTS 356,286,30,,,,
VFTS 346,160,20,,,,
VFTS 328,164,20,,,,
VFTS 285,609,29,,,,
VFTS 280,77,11,,,,
VFTS 266,167,20,,,,
VFTS 259,170,20,,,,
VFTS 250,195,20,,,,
VFTS 249,81,17,,,,
VFTS 226,67,7,,,,
VFTS 21,154,11,,,,
VFTS 190,334,30,,,,
VFTS 188,247,20,,,,
VFTS 177,338,21,,,,
VFTS 172,249,20,,,,
VFTS 163,260,20,,,,
VFTS 154,53,5,,,,
VFTS 151,96,12,,,,
VFTS 145,94,10,,,,
VFTS 141,146,23,,,,
VFTS 138,272,20,,,,
VFTS 131,277,20,,,,
VFTS 130,173,28,,,,
VFTS 125,369,30,,,,
VFTS 123,101,8,,,,
VFTS 117,374,30,,,,
VFTS 110,301,20,,,,
VFTS 109,316,20,,,,
VFTS 103,133,25,,,,
V* YZ CMi,6.5,1.1,,,,
V* WX Dra,132,89,,,,
V* VZ Ari,54,3,,,,
V* V971 Cyg,173,129,,,,
V* V589 Lyr,198,35,,,,
V* V588 Lyr,331,50,,,,
V* V576 Lyr,200,45,,,,
V* V541 Lyr,155,96,,,,
V* V474 Cyg,122,30,,,,
V* V461 Cyg,291,126,,,,
V* V396 Lyr,201,163,,,,
V* V393 Cyg,135,100,,,,
V* V390 Cyg,346,74,,,,
V* V374 Peg,29.4,1.2,,,,
V* V357 Lyr,220,114,,,,
V* V352 Lyr,222,171,,,,
V* V2564 Oph,5,2,,,,
V* V2469 Cyg,166,34,,,,
V* V2364 Cyg,156,44,,,,
V* V2304 Cyg,268,85,,,,
V* V2294 Cyg,172,39,,,,
V* V2290 Cyg,234,83,,,,
V* V2284 Cyg,355,28,,,,
V* V2281 Cyg,338,13,,,,
V* V2277 Cyg,160,36,,,,
V* V1953 Cyg,202,140,,,,
V* V1944 Cyg,176,112,,,,
V* V1673 Cyg,168,136,,,,
V* V1672 Cyg,130,115,,,,
V* V1621 Cyg,123,84,,,,
V* V1263 Cyg,158,63,,,,
V* V1253 Cyg,366,55,,,,
V* V1150 Cyg,157,86,,,,
V* V1130 Cyg,198,45,,,,
V* TZ Ari,3.8,1.6,,,,
V* TY Vir,8,2,,,,
V* TU Cyg,213,145,,,,
V* RT Lyr,260,99,,,,
V* HP Eri,5.5,2,,,,
V* HP Cyg,331,78,,,,
V* HN Lyr,316,88,,,,
V* GL Vir,9.2,1.9,,,,
V* EV Lac,6.9,0.8,,,,
V* ER Lyr,384,35,,,,
V* EQ Lyr,199,128,,,,
V* EG Lyr,286,65,,,,
V* EF Lyr,388,27,,,,
V* DL Dra,43,2,,,,
V* DG CVn,55.5,8.4,,,,
V* CV Cnc,6.5,1.7,,,,
V* CS Eri,15,2,,,,
V* CS Cyg,272,103,,,,
V* BU Cnc,208,11,,,,
V* BR Cyg,240,74,,,,
V* BN Cnc,200,5,,,,
V* BH CVn,16,2,,,,
V* AF Cyg,203,54,,,,
USNO-A2.0 1275-13325780,233,64,,,,
USNO-A2.0 1275-13153132,215,36,,,,
UPM J1928+4801,269,105,,,,
UCAC4 698-065770,144,48,,,,
UCAC4 672-080962,223,61,,,,
UCAC4 671-082747,159,107,,,,
UCAC4 656-071799,142,101,,,,
UCAC3 281-150921,183,126,,,,
UCAC2 1803316,214,20,,,,
UCAC2 1803310,219,20,,,,
UCAC2 1803283,300,17,,,,
UCAC2 1803231,376,30,,,,
UCAC2 1803216,81,4,,,,
UCAC2 1803186,512,20,,,,
TYC 9163-983-1,68,4,,,,
TYC 3921-298-1,122,99,,,,
TYC 3568-996-1,166,48,,,,
TYC 3568-943-1,200,62,,,,
TYC 3568-870-1,146,96,,,,
TYC 3568-388-1,181,44,,,,
TYC 3568-2236-1,210,26,,,,
TYC 3568-2218-1,190,129,,,,
TYC 3565-98-1,245,50,,,,
TYC 3565-885-1,258,79,,,,
TYC 3565-859-1,131,97,,,,
TYC 3565-698-1,221,44,,,,
TYC 3565-674-1,131,91,,,,
TYC 3565-525-1,224,103,,,,
TYC 3565-514-1,243,61,,,,
TYC 3565-247-1,165,49,,,,
TYC 3565-179-1,139,98,,,,
TYC 3565-1155-1,199,55,,,,
TYC 3564-884-1,205,51,,,,
TYC 3564-392-1,131,79,,,,
TYC 3564-2101-1,186,100,,,,
TYC 3564-196-1,138,93,,,,
TYC 3564-1710-1,122,91,,,,
TYC 3564-1479-1,185,33,,,,
TYC 3564-1136-1,210,75,,,,
TYC 3564-1037-1,357,54,,,,
TYC 3563-334-1,260,40,,,,
TYC 3563-1928-1,125,89,,,,
TYC 3563-1922-1,183,54,,,,
TYC 3563-1817-1,289,50,,,,
TYC 3563-1520-1,179,43,,,,
TYC 3563-1278-1,146,54,,,,
TYC 3563-118-1,241,59,,,,
TYC 3563-1022-1,272,60,,,,
TYC 3562-505-1,132,91,,,,
TYC 3562-32-1,246,67,,,,
TYC 3562-2126-1,206,49,,,,
TYC 3562-1846-1,232,73,,,,
TYC 3562-1829-1,125,105,,,,
TYC 3562-1551-1,220,41,,,,
TYC 3562-1380-1,170,100,,,,
TYC 3561-940-1,126,104,,,,
TYC 3561-914-1,196,74,,,,
TYC 3561-906-1,203,60,,,,
TYC 3561-781-1,217,121,,,,
TYC 3561-2050-1,297,68,,,,
TYC 3561-2016-1,217,71,,,,
TYC 3561-1719-1,177,50,,,,
TYC 3561-1295-1,135,134,,,,
TYC 3561-1002-1,188,121,,,,
TYC 3560-936-1,188,33,,,,
TYC 3560-561-1,178,64,,,,
TYC 3560-3023-1,250,30,,,,
TYC 3560-2896-1,183,117,,,,
TYC 3560-2452-1,120,62,,,,
TYC 3560-1962-1,136,84,,,,
TYC 3560-1875-1,142,91,,,,
TYC 3559-68-1,142,93,,,,
TYC 3559-360-1,127,100,,,,
TYC 3559-2620-1,160,142,,,,
TYC 3559-2544-1,126,71,,,,
TYC 3559-250-1,134,107,,,,
TYC 3559-2421-1,131,78,,,,
TYC 3559-2184-1,255,63,,,,
TYC 3559-1875-1,197,56,,,,
TYC 3559-1812-1,167,56,,,,
TYC 3559-1634-1,120,91,,,,
TYC 3559-1359-1,342,44,,,,
TYC 3559-1265-1,243,66,,,,
