Name,vsini,e_vsini,prot,e_prot,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax,iso_rad,iso_rad_err1,iso_rad_err2
TYC 3141-3352-1,142,41,7.41,,5907,114,4.08,0.16,0.08,,11.205,0.1,1.430277959,0.025112963,3.714,0.111,-0.106
TYC 3140-568-1,172,88,2.027,,7130,145,3.94,0.15,0.05,,11.365,0.1,1.517838404,0.031881839,2.192,0.057,-0.074
TYC 3139-291-1,123,107,1.334,,12365,795,4.06,0.12,0.11,,11.645,0.1,0.397073916,0.036340857,3.409,0.301,-0.273
TYC 3139-2499-1,144,118,32.663,6.244,5315,145,4.55,0.16,0.08,,11.75,0.1,5.712396705,0.028307642,0.826,0.015,-0.014
TYC 3139-1545-1,135,47,1.856,,6548,116,4.11,0.11,-0.15,,11.18,0.1,2.355874425,0.052426586,1.619,0.048,-0.049
TYC 3138-941-1,380,28,2.281,0.004,6201,538,4.08,0.14,-0.11,,11.033,0.1,3.720426149,0.023897994,1.238,0.024,-0.023
TYC 3138-728-1,129,99,6.163,0.09,5927,264,4.1,0.18,-0.97,,10.082,0.1,4.373072601,0.027884525,1.708,0.034,-0.034
TYC 3138-1861-1,125,114,50,,5737,250,4.19,0.23,-0.4,,11.331,0.1,3.387886453,0.028408567,1.383,0.029,-0.028
TYC 3136-301-1,190,54,1.14,,7546,68,3.85,0.14,-0.05,,11.448,0.1,0.735663141,0.030859255,3.862,0.169,-0.155
TYC 3136-1401-1,127,80,1.257,,7334,240,3.94,0.14,-0.03,,12.374,0.1,0.79592156,0.031502309,2.547,0.105,-0.103
TYC 3135-184-1,175,69,1.354,,9598,527,3.81,0.12,-0.2,,10.837,0.1,1.250776083,0.039887957,2.053,0.076,-0.078
TYC 3134-1817-1,195,46,2.129,0.003,6227,223,4.15,0.12,-0.39,,12.479,0.1,0.86594736,0.028617179,2.742,0.102,-0.101
TYC 3125-3740-1,120,32,12.191,,6685,88,4.15,0.11,-0.29,,12.518,0.1,1.223666562,0.03174116,1.74,0.057,-0.056
TYC 2666-407-1,310,82,2.687,,8389,339,3.89,0.13,-0.17,,11.251,0.1,1.246589893,0.035472752,1.89,0.065,-0.06
TYC 2666-234-1,154,111,12.518,,6567,127,4.08,0.13,-0.01,,11.943,0.1,1.427809091,0.021701361,1.725,0.043,-0.042
ROTSE1 J190922.30+381930.4,313,32,0.82646,,6330,87,4.15,0.11,-0.22,,11.975,0.1,1.476128159,0.022717604,1.586,0.035,-0.037
LSPM J1920+4039,214,94,52.96,4.74,3550,87,1.16,0.23,-0.09,,13.836,0.1,20.24293291,0.027368882,0.373,0.008,-0.009
KOI-6527,152,54,1.883,,7772,162,3.87,0.12,-0.11,,12.328,0.1,0.490578931,0.028675567,4.473,0.284,-0.294
KOI-635,6,1,8.895604117,0.045893068,6087.4,60,4.426,0.1,0.047,0.04,13.034,0.1,1.761310389,0.017410846,1.107,0.025,-0.023
KOI-6102,11.8,1,5.838,0.006,6322.9,60,3.375,0.1,-0.129,0.04,10.915,0.1,1.5632985,0.024355248,2.817,0.071,-0.069
KOI-6,11.8,1,22.76545397,9.26222369,6348.1,60,4.357,0.1,0.044,0.04,12.161,0.1,2.074578742,0.026361964,1.289,0.032,-0.027
