Kepler-1651,168,158,2.88,1.51
KIC 4648234,141,99,3.71,1.21
KIC 4381741,235,107,3.97,1.08
KIC 4655612,212,127,2.94,1.08
KIC 4735754,170,117,4.08,0.96
UCAC3 281-150921,183,126,3.74,0.86
KIC 3850643,175,96,3.83,0.82
KIC 4551429,261,117,1.49,0.82
KIC 6364164,222,109,3.4,0.8
KIC 9631366,132,73,4.43,0.75
KIC 8582406,138,93,4.06,0.73
KIC 4818089,282,92,1.6,0.73
2MASS J19272164+3659509,167,107,1.7,0.72
KIC 1866535,157,105,1.79,0.69
KIC 5266549,313,66,2.13,0.68
KIC 3748918,271,134,1.82,0.66
Kepler-210,238,33,3.96,0.65
2MASS J19151823+4452491,229,26,3.64,0.63
KIC 5462650,169,51,2.56,0.63
KIC 1721911,200,145,1.81,0.62
KIC 1026474,260,133,4.48,0.6
KOI-5617,197,33,3.96,0.59
KIC 5469689,134,146,3.72,0.57
KIC 1436140,268,95,4.09,0.56
KIC 6368988,175,107,3.77,0.56
KIC 4750751,133,97,3.69,0.55
KIC 3955797,141,94,3.74,0.53
KIC 2860930,138,89,4.11,0.52
2MASS J19243078+4748082,123,82,1.31,0.51
KIC 4633585,134,98,4.46,0.49
KIC 5879967,137,91,4.46,0.49
2MASS J19415041+4912599,254,27,4.35,0.49
UPM J1928+4801,269,105,1.76,0.49
ROTSE1 J184556.86+471914.4,221,10,3.81,0.48
KIC 9595449,258,43,3.25,0.48
KIC 5888474,120,88,2.8,0.48
KIC 5709582,225,146,2.92,0.46
KIC 6366391,163,110,4.1,0.45
KIC 11152057,218,32,3.37,0.45
KIC 6368104,163,112,3.11,0.45
2MASS J19282996+4901246,213,19,3.48,0.43
KIC 4346809,387,20,0.92,0.43
KIC 3534089,357,67,0.9,0.43
KIC 7708789,235,42,4.41,0.42
KIC 7867091,235,33,3.99,0.42
2MASS J18521482+4103252,204,26,4.13,0.41
LAMOST J192817.82+410412.2,349,73,0.82,0.41
KIC 11455045,230,38,4.35,0.4
KIC 3634755,123,26,3.08,0.4
KIC 2996004,171,50,4.29,0.39
KIC 5470396,252,128,4.15,0.39
ASAS J185911+4815.8,208,25,4.03,0.39
KIC 10936272,212,49,3.06,0.39
KIC 6432245,217,22,4.32,0.38
KIC 3550668,254,114,1.05,0.38
KIC 9913134,211,35,4.47,0.36
KIC 9216773,128,85,4.3,0.36
KIC 5808421,200,122,4.15,0.36
KIC 11714250,337,89,0.82,0.36
KIC 11869338,268,45,4.34,0.35
KIC 4731525,265,115,0.9,0.35
G 205-48,290,120,0.88,0.35
KIC 5708183,225,64,4.5,0.34
2MASS J18544660+4332242,196,27,4.41,0.34
KIC 9723418,222,44,4.28,0.34
SPOCS 2447,287,67,4.17,0.33
KIC 5446908,123,95,4.14,0.33
KIC 4471819,131,73,4.54,0.32
KIC 3853207,124,119,4.36,0.31
KIC 9578842,197,40,4.24,0.31
2MASS J19211336+4151184,172,34,1.71,0.31
KIC 3956991,166,84,4.57,0.3
KOI-5153,142,53,4.55,0.3
KIC 10865206,126,31,4.47,0.3
USNO-A2.0 1275-13153132,215,36,4.46,0.3
KIC 5127106,204,28,4.2,0.3
KIC 5714912,281,25,4.17,0.3
KIC 10117599,154,63,1.72,0.3
KIC 8359398,210,47,4.32,0.29
KIC 8113625,229,51,4.23,0.29
KIC 8802684,195,35,4.23,0.29
KIC 9141060,225,52,4.39,0.28
KIC 6293275,148,109,4.24,0.28
KIC 6287877,121,98,2.49,0.28
KIC 9588430,139,91,1.19,0.28
KIC 3449953,269,124,1,0.28
2MASS J19233258+4458282,195,71,4.49,0.27
KIC 5027063,154,97,4.47,0.27
KOI-2441,294,95,4.45,0.27
KIC 4379301,261,107,4.43,0.27
KIC 9663202,238,34,4.35,0.27
KIC 10487620,211,53,4.31,0.27
KIC 5602310,325,96,0.66,0.27
KIC 5207271,155,124,4.22,0.26
KIC 9905724,242,48,4.33,0.25
KIC 1873543,284,84,1.36,0.25
KOI-2084,223,86,4.58,0.24
KIC 5960966,204,77,4.55,0.24
KIC 4914239,195,163,4.48,0.24
KIC 9269239,231,37,4.31,0.24
KIC 9331032,221,53,4.27,0.24
2MASS J19284396+4112456,200,38,4.25,0.24
KIC 3957292,157,102,4.63,0.23
KIC 4929016,138,81,4.59,0.23
KIC 8098181,188,19,4.56,0.23
KIC 10355273,229,52,4.37,0.23
KIC 10802309,173,31,4.23,0.23
TYC 3138-1861-1,125,114,4.19,0.23
LSPM J1920+4039,214,94,1.16,0.23
KIC 5177193,218,158,4.65,0.22
KIC 9140459,264,29,4.26,0.22
KIC 3957108,204,165,4.09,0.22
KIC 1435229,277,116,4.67,0.21
KIC 1720673,281,83,4.64,0.21
KIC 4728952,248,95,4.63,0.21
KIC 5628536,242,42,4.05,0.21
KIC 6365649,348,39,0.98,0.21
TIC 220459826,6.106487209,2,4.689509609,0.2
TIC 393490869,4.973163488,2,4.670479147,0.2
KIC 5353192,194,79,4.66,0.2
KIC 6035145,216,130,4.66,0.2
KIC 5869314,227,77,4.64,0.2
KIC 5446821,230,119,4.63,0.2
TIC 220392350,6.178953389,2,4.574596992,0.2
TIC 220404357,7.69383335,2,4.479327486,0.2
KIC 8609873,263,37,4.45,0.2
KIC 7826323,217,24,4.3,0.2
KIC 5702872,191,154,4.27,0.2
KIC 6867704,141,53,4.25,0.2
TIC 38572739,5.425988844,1.495679343,4.688144429,0.193873605
